YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2053,14622,5678,6254,8376,5722,304,5298,5956,2016,9008,4088,11576
2054,14622,4676,1450,0,280,9404,5566,5158,0,14160,11028,10430
2055,14622,0,3080,7412,6234,12492,4162,556,0,722,5974,5874
2056,14622,0,4650,12698,4816,0,6026,0,1382,5598,3878,14106
2057,14622,2992,954,0,3274,12060,7268,4006,7756,7432,662,0
2058,14622,3522,0,0,0,5474,9656,2592,0,0,11660,4270
2059,14622,3192,0,3970,0,11800,7882,11106,1232,0,0,4400
2060,14622,656,0,0,0,4572,12604,11390,12482,2648,3388,2190
2061,14622,3964,3606,698,4556,10044,8820,118,804,4556,13144,8570
2062,14622,0,1640,9294,5300,8714,0,4676,6940,296,3944,14074
2063,14622,0,324,0,7436,4042,6856,656,346,0,4630,12798
2064,14622,558,6470,11482,0,7322,0,2268,6866,6014,5772,6474
2065,14622,0,0,0,0,8456,5804,5154,2178,0,0,9488
2066,14622,0,0,4190,782,10764,7260,0,3628,12714,4066,10406
2067,14622,0,0,0,0,5028,0,1910,0,0,1960,0
2068,14622,0,1334,0,0,6334,0,12320,0,222,7442,8922
2069,14622,0,2558,0,0,4400,6876,5474,0,12940,5624,3400
2070,14622,0,0,0,1070,5712,0,116,4504,882,5540,12144
2071,14622,0,134,4834,0,0,6302,0,190,432,0,2492
2072,14622,74,0,4836,0,5794,1760,0,0,6862,4348,1248
2073,14622,4444,0,4512,1428,7378,0,6862,0,4396,5928,0
2074,14622,0,0,6222,0,3638,3134,0,0,0,0,6850
2075,14622,0,0,0,0,4726,0,0,0,0,5926,416
2076,14622,0,0,0,0,5940,0,4062,3104,8634,8960,0
2077,14622,0,0,0,0,11094,416,3854,4954,0,1602,7138
2078,14622,0,0,6610,0,0,10540,3916,1708,88,360,9592
2079,14622,0,0,0,0,0,1040,332,4056,4946,0,12756
2080,14622,0,0,590,0,882,2754,0,0,5870,5304,9746
2081,14622,0,0,5584,2604,8084,5876,0,0,3458,540,5662
2082,14622,0,230,382,0,5818,5386,6770,0,5976,8466,8700
2083,14622,0,470,664,0,528,5046,0,4072,4068,0,8188
2084,14622,0,0,4706,0,0,8368,346,5050,0,9670,3592
2085,14622,0,0,3886,0,0,0,0,0,6078,0,6148
2086,14622,0,0,5572,0,1750,5766,0,0,2366,0,6156
2087,14622,0,0,1150,3692,0,0,0,0,0,0,1410
2088,14622,0,0,0,2,6632,2898,2618,0,0,4332,9008
2089,14622,0,0,0,0,5290,1170,0,0,4258,0,10828
2090,14622,0,0,424,672,4854,4842,2350,1068,0,5094,4924
2091,14622,0,0,0,0,0,10,0,118,2724,4076,3000
2092,14622,0,0,0,0,9342,4184,476,0,0,2208,9686
2093,14622,0,0,0,0,4184,0,3546,0,0,2928,8690
2094,14622,0,0,0,0,376,0,0,0,0,6272,3440
2095,14622,0,152,0,0,98,10268,8568,0,0,5902,12346
2096,14622,0,0,0,0,0,0,0,0,0,0,1528
2097,14622,0,0,0,0,0,0,0,3904,0,5714,6304
2098,14622,0,0,0,0,0,0,0,0,0,134,7084
2099,14638,0,0,0,0,0,198,0,704,0,7338,13448
