1     
Chinook Salmon ; 2010 spawners 
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1197     
Chinook Salmon ; 2033 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1249     
Chinook Salmon ; 2034 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1301     
Chinook Salmon ; 2035 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1353     
Chinook Salmon ; 2036 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1405     
Chinook Salmon ; 2037 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1457     
Chinook Salmon ; 2038 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1509     
Chinook Salmon ; 2039 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1561     
Chinook Salmon ; 2040 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1613     
Chinook Salmon ; 2041 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1665     
Chinook Salmon ; 2042 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1717     
Chinook Salmon ; 2043 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1769     
Chinook Salmon ; 2044 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1821     
Chinook Salmon ; 2045 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1873     
Chinook Salmon ; 2046 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1925     
Chinook Salmon ; 2047 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
1977     
Chinook Salmon ; 2048 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
2029     
Chinook Salmon ; 2049 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
22 24 330 0.5 7500 7500
25 30 869 0.5 7500 7500
31 36 644 0.5 7500 7500
37 42 345 0.5 7500 7500
43 45 404 0.5 7500 7500
46 54 132 0.5 7500 7500
55 57 1169 0.5 7500 7500
58 63 794 0.5 7500 7500
64 69 959 0.5 7500 7500
70 75 420 0.5 7500 7500
76 84 465 0.5 7500 7500
85 93 539 0.5 7500 7500
94 102 315 0.5 7500 7500
103 111 12 0.5 7500 7500
112 120 15 0.5 7500 7500
2081     
Chinook Salmon ; 2050 spawners 
1 3 3896 0.5 7500 7500
4 9 2203 0.5 7500 7500
10 12 750 0.5 7500 7500
13 15 315 0.5 7500 7500
16 21 570 0.5 7500 7500
